,BPC9,BPC10,BPC11,BPC12,BPC13,BPC14,BPC15,BPC16,BPCdem1,BPCdem2,indpt_EO,xdemWhite,demBlackBin,xdemHispBin,demRaceOther,age_18-34,age_35-44,age_45-64,age_65+,xeduc3_nocollege,xeduc3_bach,xeduc3_postgrad,xpid3_D,xpid3_I,xpid3_R,xsubVote20O_Biden,xsubVote20O_Trump,xsubVote20O_Other,xsubVote20O_NoVote,xdemGender_M,xdemGender_F
159,3,3,3,3,3,3,3,3,,,0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
160,4,3,3,3,3,3,3,3,1.0,,1,1.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
161,1,1,1,1,1,1,1,1,1.0,,0,1.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
162,1,1,1,1,1,1,1,1,,1.0,0,0.0,0.0,0.0,1.0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
163,1,1,1,1,1,1,1,1,1.0,,0,1.0,0.0,1.0,0.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
164,1,1,2,3,1,1,2,2,1.0,,0,1.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
165,1,1,1,2,2,1,1,2,,,1,1.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
166,3,3,3,3,3,3,3,3,,,1,1.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1
167,1,1,1,1,2,2,2,1,,0.0,1,1.0,0.0,0.0,0.0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
168,2,2,2,1,2,2,2,2,,1.0,0,0.0,1.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
169,3,3,3,3,2,2,2,2,1.0,,1,1.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
170,1,1,1,1,1,1,1,1,,1.0,0,1.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
171,4,2,2,4,4,2,2,4,1.0,,0,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
172,1,1,1,1,1,1,1,1,,1.0,1,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
173,1,1,1,1,1,1,1,1,,0.0,0,1.0,0.0,1.0,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
174,5,5,1,2,5,5,2,4,0.0,,1,0.0,0.0,1.0,1.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
175,1,1,1,1,1,1,1,2,,1.0,1,1.0,0.0,0.0,0.0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
